graph_name;graph_type;algorithm;max_flow;avg_runtime;avg_iterations;avg_bound;avg_r;avg_m;avg_n;avg_cFrac;avg_rBar;avg_time_per_mI;avg_time_per_nI;avg_time_over_nm;avg_time_over_I_sntm;avg_s_bar;avg_t_bar_forward;avg_t_bar_residual;avg_insert_norm;avg_delete_norm;avg_update_norm_m;avg_update_norm_theoretical
1graph_50_50_25_1000.dimacs;basic_line;bfs;612620;733.190779800;3583;117624024;0.000030461;47012;2502;0.038203012;0.000799361;0.000002176;0.000081787;0.000003117;0.000002166;0.971337471;0.988104117;0.979130334;-1;-1;-1;-1
1graph_50_50_25_1000.dimacs;basic_line;dfs;612620;7628.731014800;164004.400000000;1250000;0.131203520;47012;2502;0;0;0.000000495;0.000018589;0.000032428;0.000008956;0.626078174;0.041380292;0.038576199;-1;-1;-1;-1
1graph_50_50_25_1000.dimacs;basic_line;fat;612620;562.274052200;1579;1904314.770355826;0.000829170;47012;2502;0;0;0.000003787;0.000142324;0.000002390;0.000005641;0.642066714;0.629691693;0.654292240;0.957471388;0.661511576;0.060169996;0.385427834
1graph_50_50_25_1000.dimacs;basic_line;scaling;612620;107.295177000;5052;1904314.770355826;0.002652923;47012;2502;0;0;0.000000226;0.000008488;0.000000456;0.000008470;0.288966214;0.020271584;0.018979563;-1;-1;-1;-1
2graph_52_52_25_1000.dimacs;basic_line;bfs;634382;804.220267800;3712;139031574;0.000026699;51379;2706;0.036172366;0.000739098;0.000002108;0.000080064;0.000002892;0.000002111;0.961862667;0.975996258;0.973218607;-1;-1;-1;-1
2graph_52_52_25_1000.dimacs;basic_line;dfs;634382;8934.006734800;182082.400000000;1300000;0.140063385;51379;2706;0;0;0.000000478;0.000018133;0.000032129;0.000008996;0.611551243;0.039494350;0.036978886;-1;-1;-1;-1
2graph_52_52_25_1000.dimacs;basic_line;fat;634382;605.487803400;1581;2087023.220428920;0.000757538;51379;2706;0;0;0.000003727;0.000141529;0.000002178;0.000005555;0.639388049;0.622934680;0.654038204;0.949228949;0.660739622;0.058121007;0.374877076
2graph_52_52_25_1000.dimacs;basic_line;scaling;634382;115.078160400;5155;2087023.220428920;0.002470025;51379;2706;0;0;0.000000217;0.000008250;0.000000414;0.000008889;0.273287081;0.017920179;0.017242476;-1;-1;-1;-1
3graph_54_54_25_1000.dimacs;basic_line;bfs;664586;981.916380200;3916;163445934;0.000023959;56013;2918;0.035036509;0.000685401;0.000002238;0.000085930;0.000003004;0.000002231;0.969062705;0.985644416;0.978233607;-1;-1;-1;-1
3graph_54_54_25_1000.dimacs;basic_line;dfs;664586;8332.704825200;183341.200000000;1350000;0.135808296;56013;2918;0;0;0.000000406;0.000015575;0.000025491;0.000009087;0.574180998;0.031721941;0.029688167;-1;-1;-1;-1
3graph_54_54_25_1000.dimacs;basic_line;fat;664586;247.300914800;1458;2281356.611106623;0.000639093;56013;2918;0;0;0.000001514;0.000058128;0.000000757;0.000005036;0.293016902;0.276602333;0.293019696;0.828429755;0.293709824;0.031604926;0.205327480
3graph_54_54_25_1000.dimacs;basic_line;scaling;664586;107.291523600;5201;2281356.611106623;0.002279784;56013;2918;0;0;0.000000184;0.000007070;0.000000328;0.000009635;0.246487699;0.011540039;0.012691853;-1;-1;-1;-1
4graph_56_56_25_1000.dimacs;basic_line;bfs;687430;1119.890704000;4176;191458794;0.000021811;61013;3138;0.034304165;0.000637349;0.000002198;0.000085460;0.000002925;0.000002190;0.968756334;0.984444686;0.978474478;-1;-1;-1;-1
4graph_56_56_25_1000.dimacs;basic_line;dfs;687430;10063.636091200;208547.600000000;1400000;0.148962571;61013;3138;0;0;0.000000395;0.000015377;0.000026281;0.000008492;0.588863571;0.033442030;0.031421804;-1;-1;-1;-1
