graph_name;graph_type;algorithm;max_flow;avg_runtime;avg_iterations;avg_bound;avg_r;avg_m;avg_n;avg_cFrac;avg_rBar;avg_time_per_mI;avg_time_per_nI;avg_time_over_nm;avg_time_over_I_sntm;avg_s_bar;avg_t_bar_forward;avg_t_bar_residual;avg_insert_norm;avg_delete_norm;avg_update_norm_m;avg_update_norm_theoretical
1graph_2500_25_1000.dimacs;matching;bfs;2500000;185.597724600;2500;337635000;0.000007404;67500;5002;0.056066667;0.000403379;0.000000550;0.000014842;0.000000275;0.000001912;0.268904198;0.508168338;0.277604406;-1;-1;-1;-1
1graph_2500_25_1000.dimacs;matching;dfs;2500000;50.416573600;2500;2500000;0.001000000;67500;5002;0;0;0.000000149;0.000004032;0.000000075;0.000007141;0.275087997;0.021256725;0.010726097;-1;-1;-1;-1
1graph_2500_25_1000.dimacs;matching;fat;2500000;72.176051000;2500;2869222.049668558;0.000871316;67500;5002;0;0;0.000000214;0.000005772;0.000000107;0.000006623;0.013972971;0.050945541;0.031772913;0.521775290;0.013972971;0;0
1graph_2500_25_1000.dimacs;matching;scaling;2500000;81.608148800;2500;2869222.049668558;0.000871316;67500;5002;0;0;0.000000242;0.000006526;0.000000121;0.000004390;0.575195922;0.063806116;0.033773683;-1;-1;-1;-1
2graph_2665_25_1000.dimacs;matching;bfs;2665000;211.410553000;2665;383664060;0.000006946;71955;5332;0.056097561;0.000378625;0.000000551;0.000014878;0.000000276;0.000001910;0.269882785;0.509001876;0.278607108;-1;-1;-1;-1
2graph_2665_25_1000.dimacs;matching;dfs;2665000;56.163262600;2665;2665000;0.001000000;71955;5332;0;0;0.000000146;0.000003952;0.000000073;0.000007055;0.273985790;0.021032135;0.010605456;-1;-1;-1;-1
2graph_2665_25_1000.dimacs;matching;fat;2665000;85.528781000;2665;3071860.277363235;0.000867552;71955;5332;0;0;0.000000223;0.000006019;0.000000111;0.000006546;0.015671953;0.052596339;0.033488097;0.533203047;0.015671953;0;0
2graph_2665_25_1000.dimacs;matching;scaling;2665000;91.473849800;2665;3071860.277363235;0.000867552;71955;5332;0;0;0.000000239;0.000006437;0.000000119;0.000004397;0.574345275;0.062303183;0.032960607;-1;-1;-1;-1
3graph_2830_25_1000.dimacs;matching;bfs;2830000;243.308029400;2830;432633420;0.000006541;76410;5662;0.056059416;0.000356324;0.000000563;0.000015184;0.000000281;0.000001968;0.267111286;0.507743649;0.275921149;-1;-1;-1;-1
3graph_2830_25_1000.dimacs;matching;dfs;2830000;66.045026400;2830;2830000;0.001000000;76410;5662;0;0;0.000000153;0.000004122;0.000000076;0.000007393;0.272780036;0.020925773;0.010548738;-1;-1;-1;-1
