graph_name;graph_type;algorithm;max_flow;avg_runtime;avg_iterations;avg_bound;avg_r;avg_m;avg_n;avg_cFrac;avg_rBar;avg_time_per_mI;avg_time_per_nI;avg_time_over_nm;avg_time_over_I_sntm;avg_s_bar;avg_t_bar_forward;avg_t_bar_residual;avg_insert_norm;avg_delete_norm;avg_update_norm_m;avg_update_norm_theoretical
1graph_50_50_1000.dimacs;random_2level;bfs;33275;167.186204200;2584;18639900;0.000138627;7450;2502;0.175100671;0.000819276;0.000004342;0.000025860;0.000004485;0.000003925;0.923282117;0.935857419;0.951421266;-1;-1;-1;-1
1graph_50_50_1000.dimacs;random_2level;dfs;33275;1996.427924400;33061.800000000;150000;0.220412000;7450;2502;0;0;0.000004053;0.000024135;0.000053553;0.000011497;0.663045115;0.236285071;0.241156439;-1;-1;-1;-1
1graph_50_50_1000.dimacs;random_2level;fat;33275;26.326129400;181;256199.584329854;0.000706480;7450;2502;0;0;0.000009762;0.000058133;0.000000706;0.000013646;0.574371442;0.583120620;0.618873151;0.803297693;0.596771202;0.114360933;0.312084859
1graph_50_50_1000.dimacs;random_2level;scaling;33275;6.917479200;520;256199.584329854;0.002029668;7450;2502;0;0;0.000000893;0.000005317;0.000000186;0.000007991;0.241947980;0.061273361;0.071097961;-1;-1;-1;-1
2graph_52_52_1000.dimacs;random_2level;bfs;39048;219.539557200;3207;21810360;0.000147040;8060;2706;0.199937965;0.000772808;0.000004247;0.000025298;0.000005033;0.000003825;0.927872925;0.940008983;0.954396342;-1;-1;-1;-1
2graph_52_52_1000.dimacs;random_2level;dfs;39048;2582.631307800;38796.200000000;156000;0.248693590;8060;2706;0;0;0.000004130;0.000024601;0.000059207;0.000011655;0.666381576;0.236512051;0.242442196;-1;-1;-1;-1
2graph_52_52_1000.dimacs;random_2level;fat;39048;43.561673400;242;278089.126436812;0.000870225;8060;2706;0;0;0.000011167;0.000066521;0.000000999;0.000015005;0.603873852;0.612062424;0.642849599;0.803631966;0.640062182;0.137223920;0.374486700
2graph_52_52_1000.dimacs;random_2level;scaling;39048;17.211705600;638;278089.126436812;0.002294229;8060;2706;0;0;0.000001674;0.000009970;0.000000395;0.000008221;0.367200949;0.122133567;0.141918954;-1;-1;-1;-1
3graph_54_54_1000.dimacs;random_2level;bfs;38616;239.811803400;3147;25369092;0.000124049;8694;2918;0.184667587;0.000701623;0.000004383;0.000026115;0.000004726;0.000003948;0.927193191;0.938883045;0.954525852;-1;-1;-1;-1
3graph_54_54_1000.dimacs;random_2level;dfs;38616;2767.668030600;38344.800000000;162000;0.236696296;8694;2918;0;0;0.000004151;0.000024736;0.000054548;0.000011731;0.665032265;0.237101440;0.242252049;-1;-1;-1;-1
