graph_name;graph_type;algorithm;max_flow;avg_runtime;avg_iterations;avg_bound;avg_r;avg_m;avg_n;avg_cFrac;avg_rBar;avg_time_per_mI;avg_time_per_nI;avg_time_over_nm;avg_time_over_I_sntm;avg_s_bar;avg_t_bar_forward;avg_t_bar_residual;avg_insert_norm;avg_delete_norm;avg_update_norm_m;avg_update_norm_theoretical
1graph_50_25_1000.dimacs;square_mesh;bfs;150000;1445.984000400;8844;152747100;0.000057900;61050;2502;0.074782965;0.000799361;0.000001339;0.000065347;0.000004733;0.000001320;0.989995340;0.999589981;0.994260253;-1;-1;-1;-1
1graph_50_25_1000.dimacs;square_mesh;dfs;150000;4114.505959600;46711.200000000;150000;0.311408000;61050;2502;0;0;0.000000721;0.000035206;0.000013468;0.000006984;0.844652642;0.087692211;0.085992954;-1;-1;-1;-1
1graph_50_25_1000.dimacs;square_mesh;fat;150000;72.800004400;236;2099461.023266788;0.000112410;61050;2502;0;0;0.000002526;0.000123291;0.000000238;0.000003749;0.658056606;0.670085370;0.660475784;0.992470430;0.684388083;0.091891614;0.701871127
1graph_50_25_1000.dimacs;square_mesh;scaling;150000;18.599972000;466;2099461.023266788;0.000221962;61050;2502;0;0;0.000000327;0.000015953;0.000000061;0.000004568;0.368343094;0.107198595;0.064013456;-1;-1;-1;-1
2graph_52_25_1000.dimacs;square_mesh;bfs;156000;1682.342586000;9717;178877424;0.000054322;66104;2706;0.075933378;0.000739098;0.000001310;0.000063982;0.000004703;0.000001291;0.990266790;0.999601566;0.994427041;-1;-1;-1;-1
2graph_52_25_1000.dimacs;square_mesh;dfs;156000;5103.244909600;52289;156000;0.335185897;66104;2706;0;0;0.000000738;0.000036067;0.000014265;0.000007004;0.842087474;0.089647497;0.088154861;-1;-1;-1;-1
2graph_52_25_1000.dimacs;square_mesh;fat;156000;82.450148800;247;2280744.865257945;0.000108298;66104;2706;0;0;0.000002525;0.000123358;0.000000230;0.000003834;0.643090329;0.655078233;0.645452712;0.988392865;0.666181914;0.090624159;0.692739722
2graph_52_25_1000.dimacs;square_mesh;scaling;156000;19.753582600;500;2280744.865257945;0.000219227;66104;2706;0;0;0.000000299;0.000014600;0.000000055;0.000004379;0.357813008;0.101947628;0.060915935;-1;-1;-1;-1
3graph_54_25_1000.dimacs;square_mesh;bfs;162000;1975.944674000;10533;208222644;0.000050585;71358;2918;0.076347431;0.000685401;0.000001314;0.000064289;0.000004745;0.000001295;0.990636921;0.999617121;0.994644202;-1;-1;-1;-1
3graph_54_25_1000.dimacs;square_mesh;dfs;162000;6323.337489000;58967.200000000;162000;0.363995062;71358;2918;0;0;0.000000751;0.000036749;0.000015184;0.000007014;0.839266911;0.091269475;0.089970761;-1;-1;-1;-1
3graph_54_25_1000.dimacs;square_mesh;fat;162000;96.107147800;251;2469790.902981517;0.000101628;71358;2918;0;0;0.000002683;0.000131219;0.000000231;0.000003639;0.718749403;0.731770583;0.722614629;0.993787700;0.761368508;0.094177845;0.720425648
3graph_54_25_1000.dimacs;square_mesh;scaling;162000;19.496771800;514;2469790.902981517;0.000208115;71358;2918;0;0;0.000000266;0.000012999;0.000000047;0.000004308;0.340200900;0.091373573;0.054733869;-1;-1;-1;-1
