graph_name;graph_type;algorithm;max_flow;avg_runtime;avg_iterations;avg_bound;avg_r;avg_m;avg_n;avg_cFrac;avg_rBar;avg_time_per_mI;avg_time_per_nI;avg_time_over_nm_n_plus_m;avg_time_over_r_2nm_sntm;avg_time_over_I_sntm;avg_s_bar;avg_t_bar_forward;avg_t_bar_residual;avg_insert_norm;avg_delete_norm;avg_update_norm_m;avg_update_norm_theoretical
1graph_2500_25_1000.dimacs;matching;bfs;2500000;934.683208000;2500;337635000;0.000007404;67500;5002;0.056066667;0.000403379;0.000005539;0.000074745;-0.000000445;0.000002578;0.000002670;1.000199920;1;1;-1;-1;-1;-1
1graph_2500_25_1000.dimacs;matching;dfs;2500000;52.193498000;2500;2500000;0.001000000;67500;5002;0;0;0.000000309;0.000004174;-0.000000025;0.000000037;0.000007365;0.275923551;0.021344107;0.010773428;-1;-1;-1;-1
1graph_2500_25_1000.dimacs;matching;fat;2500000;941.231369000;2500;2869222.049668557;0.000871316;67500;5002;0;0;0.000005578;0.000075268;-0.000000448;0.000000022;0.000002689;1;1;1;0.000199920;0.000199920;0.074088889;0.384200135
1graph_2500_25_1000.dimacs;matching;scaling;2500000;416.640382000;2500;2500000;0.001000000;67500;5002;0;0;0.000002469;0.000033318;-0.000000198;0.000000120;0.000022410;0.575195922;0.063806116;0.033773683;-1;-1;-1;-1
2graph_2665_25_1000.dimacs;matching;bfs;2665000;1081.139602000;2665;383664060;0.000006946;71955;5332;0.056097561;0.000378625;0.000005638;0.000076084;-0.000005148;0.000002624;0.000002718;1.000187547;1;1;-1;-1;-1;-1
2graph_2665_25_1000.dimacs;matching;dfs;2665000;64.380610000;2665;2665000;0.001000000;71955;5332;0;0;0.000000336;0.000004531;-0.000000307;0.000000038;0.000008046;0.274313466;0.021207830;0.010700624;-1;-1;-1;-1
2graph_2665_25_1000.dimacs;matching;fat;2665000;1076.629713000;2665;3071860.277363235;0.000867552;71955;5332;0;0;0.000005614;0.000075767;-0.000005127;0.000000021;0.000002707;1;1;1;0.000187547;0.000187547;0.074087972;0.384201235
2graph_2665_25_1000.dimacs;matching;scaling;2665000;450.450140000;2665;2665000;0.001000000;71955;5332;0;0;0.000002349;0.000031700;-0.000002145;0.000000108;0.000021654;0.574345275;0.062303183;0.032960607;-1;-1;-1;-1
3graph_2830_25_1000.dimacs;matching;bfs;2830000;1224.032537000;2830;432633420;0.000006541;76410;5662;0.056059416;0.000356324;0.000005661;0.000076390;0.000002056;0.000002635;0.000002729;1.000176616;1;1;-1;-1;-1;-1
3graph_2830_25_1000.dimacs;matching;dfs;2830000;63.057666000;2830;2830000;0.001000000;76410;5662;0;0;0.000000292;0.000003935;0.000000106;0.000000031;0.000007004;0.272846876;0.021222154;0.010709278;-1;-1;-1;-1
3graph_2830_25_1000.dimacs;matching;fat;2830000;1230.128425000;2830;3275294.878512315;0.000864044;76410;5662;0;0;0.000005689;0.000076770;0.000002066;0.000000020;0.000002743;1;1;1;0.000176616;0.000176616;0.074087161;0.384202207
3graph_2830_25_1000.dimacs;matching;scaling;2830000;555.028919000;2830;2830000;0.001000000;76410;5662;0;0;0.000002567;0.000034639;0.000000932;0.000000112;0.000023893;0.570961827;0.061561055;0.032559516;-1;-1;-1;-1
4graph_2995_25_1000.dimacs;matching;bfs;2995000;1371.722925000;2995;484543080;0.000006181;80865;5992;0.056112039;0.000337015;0.000005664;0.000076436;-0.000003218;0.000002637;0.000002731;1.000166889;1;1;-1;-1;-1;-1
4graph_2995_25_1000.dimacs;matching;dfs;2995000;69.378836000;2995;2995000;0.001000000;80865;5992;0;0;0.000000286;0.000003866;-0.000000163;0.000000029;0.000006958;0.271549545;0.020876890;0.010523056;-1;-1;-1;-1
4graph_2995_25_1000.dimacs;matching;fat;2995000;1321.059065000;2995;3479479.367084263;0.000860761;80865;5992;0;0;0.000005455;0.000073613;-0.000003099;0.000000018;0.000002630;1;1;1;0.000166889;0.000166889;0.074086440;0.384203071
