graph_name;graph_type;algorithm;max_flow;avg_runtime;avg_iterations;avg_bound;avg_r;avg_m;avg_n;avg_cFrac;avg_rBar;avg_time_per_mI;avg_time_per_nI;avg_time_over_nm_n_plus_m;avg_time_over_r_2nm_sntm;avg_time_over_I_sntm;avg_s_bar;avg_t_bar_forward;avg_t_bar_residual;avg_insert_norm;avg_delete_norm;avg_update_norm_m;avg_update_norm_theoretical
1graph_50_50_1000.dimacs;random_2level;bfs;33275;173.671301000;2584;18639900;0.000138627;7450;2502;0.175100671;0.000819276;0.000009022;0.000026863;0.000000212;0.000003495;0.000003986;0.948441247;0.947919463;0.972281879;-1;-1;-1;-1
1graph_50_50_1000.dimacs;random_2level;dfs;33275;2156.069506000;33110;150000;0.220733333;7450;2502;0;0;0.000008741;0.000026027;0.000002627;0.000000076;0.000012367;0.664188842;0.236996366;0.241849852;-1;-1;-1;-1
1graph_50_50_1000.dimacs;random_2level;fat;33275;43.623558000;181;256199.584329854;0.000706480;7450;2502;0;0;0.000032351;0.000096329;0.000000053;0.000000172;0.000014296;0.948041567;0.947919463;0.972281879;0.000399680;0.000399680;0.442957470;1.208807204
1graph_50_50_1000.dimacs;random_2level;scaling;33275;16.895355000;520;150000;0.003466667;7450;2502;0;0;0.000004361;0.000012986;0.000000021;0.000000115;0.000019518;0.241947980;0.061273361;0.071097961;-1;-1;-1;-1
2graph_52_52_1000.dimacs;random_2level;bfs;39048;229.297980000;3207;21810360;0.000147040;8060;2706;0.199937965;0.000772808;0.000008871;0.000026422;-0.000000162;0.000003429;0.000003912;0.951589061;0.951116625;0.974193548;-1;-1;-1;-1
2graph_52_52_1000.dimacs;random_2level;dfs;39048;2678.946430000;38899;156000;0.249352564;8060;2706;0;0;0.000008545;0.000025451;-0.000001896;0.000000065;0.000012045;0.666790797;0.236821476;0.242774741;-1;-1;-1;-1
2graph_52_52_1000.dimacs;random_2level;fat;39048;66.035623000;242;278089.126436812;0.000870225;8060;2706;0;0;0.000033855;0.000100841;-0.000000047;0.000000167;0.000014929;0.951219512;0.951116625;0.974193548;0.000369549;0.000369549;0.465025737;1.269064123
2graph_52_52_1000.dimacs;random_2level;scaling;39048;31.176931000;638;156000;0.004089744;8060;2706;0;0;0.000006063;0.000018059;-0.000000022;0.000000082;0.000014892;0.367200949;0.122133567;0.141918954;-1;-1;-1;-1
3graph_54_54_1000.dimacs;random_2level;bfs;38616;267.753500000;3147;25369092;0.000124049;8694;2918;0.184667587;0.000701623;0.000009786;0.000029158;-0.000000152;0.000003790;0.000004323;0.948252228;0.948470209;0.972797331;-1;-1;-1;-1
3graph_54_54_1000.dimacs;random_2level;dfs;38616;2920.064411000;38428;162000;0.237209877;8694;2918;0;0;0.000008740;0.000026041;-0.000001653;0.000000060;0.000012381;0.663760389;0.236444315;0.241575480;-1;-1;-1;-1
3graph_54_54_1000.dimacs;random_2level;fat;38616;59.058997000;201;300910.368991862;0.000667973;8694;2918;0;0;0.000033796;0.000100694;-0.000000033;0.000000155;0.000014929;0.947909527;0.948470209;0.972797331;0.000342700;0.000342700;0.463801879;1.265755270
3graph_54_54_1000.dimacs;random_2level;scaling;38616;24.659510000;569;162000;0.003512346;8694;2918;0;0;0.000004985;0.000014852;-0.000000014;0.000000086;0.000018036;0.273990539;0.080746959;0.092214880;-1;-1;-1;-1
4graph_56_56_1000.dimacs;random_2level;bfs;41513;312.768223000;3606;29346576;0.000122876;9352;3138;0.194557314;0.000662219;0.000009275;0.000027640;0.000000213;0.000003584;0.000004088;0.952198853;0.951988879;0.974550898;-1;-1;-1;-1
4graph_56_56_1000.dimacs;random_2level;dfs;41513;3429.349847000;41324;168000;0.245976190;9352;3138;0;0;0.000008874;0.000026446;0.000002338;0.000000054;0.000012431;0.669394068;0.238893222;0.244621666;-1;-1;-1;-1
4graph_56_56_1000.dimacs;random_2level;fat;41513;79.210837000;248;324665.934335974;0.000763862;9352;3138;0;0;0.000034153;0.000101784;0.000000054;0.000000146;0.000015055;0.951880178;0.951988879;0.974550898;0.000318674;0.000318674;0.461776332;1.260255998
4graph_56_56_1000.dimacs;random_2level;scaling;41513;33.516916000;632;168000;0.003761905;9352;3138;0;0;0.000005671;0.000016900;0.000000023;0.000000073;0.000016731;0.316295351;0.102205343;0.116405159;-1;-1;-1;-1
5graph_58_58_1000.dimacs;random_2level;bfs;42955;364.165896000;3851;33774444;0.000114021;10034;3366;0.194090094;0.000619042;0.000009424;0.000028094;0.000000227;0.000003661;0.000004174;0.944147356;0.944090094;0.970450468;-1;-1;-1;-1
5graph_58_58_1000.dimacs;random_2level;dfs;42955;3670.913183000;42812;174000;0.246045977;10034;3366;0;0;0.000008545;0.000025474;0.000002286;0.000000047;0.000012059;0.664393161;0.236973816;0.242885669;-1;-1;-1;-1
5graph_58_58_1000.dimacs;random_2level;fat;42955;100.432169000;245;349358.349099291;0.000701286;10034;3366;0;0;0.000040854;0.000121785;0.000000063;0.000000164;0.000018097;0.943850267;0.944090094;0.970450468;0.000297089;0.000297089;0.477048647;1.301963826
5graph_58_58_1000.dimacs;random_2level;scaling;42955;37.312898000;619;174000;0.003557471;10034;3366;0;0;0.000006008;0.000017908;0.000000023;0.000000073;0.000018497;0.301244892;0.099262346;0.111863123;-1;-1;-1;-1
6graph_60_60_1000.dimacs;random_2level;bfs;39649;390.395873000;3553;38685480;0.000091843;10740;3602;0.170251397;0.000563142;0.000010231;0.000030505;0.000000503;0.000003978;0.000004535;0.942809550;0.942923650;0.969785847;-1;-1;-1;-1
6graph_60_60_1000.dimacs;random_2level;dfs;39649;3760.852430000;39500;180000;0.219444444;10740;3602;0;0;0.000008865;0.000026433;0.000004844;0.000000045;0.000012673;0.658355007;0.234977024;0.239366688;-1;-1;-1;-1
6graph_60_60_1000.dimacs;random_2level;fat;39649;72.990559000;194;374990.050943703;0.000517347;10740;3602;0;0;0.000035032;0.000104453;0.000000094;0.000000132;0.000015530;0.942531927;0.942923650;0.969785847;0.000277624;0.000277624;0.466626831;1.273545490
6graph_60_60_1000.dimacs;random_2level;scaling;39649;27.015655000;586;180000;0.003255556;10740;3602;0;0;0.000004293;0.000012799;0.000000035;0.000000077;0.000022385;0.201590698;0.056354351;0.062075842;-1;-1;-1;-1
7graph_62_62_1000.dimacs;random_2level;bfs;44675;512.648982000;4223;44113620;0.000095730;11470;3846;0.187445510;0.000538645;0.000010584;0.000031564;0.000000384;0.000004112;0.000004689;0.943577743;0.943853531;0.970401046;-1;-1;-1;-1
7graph_62_62_1000.dimacs;random_2level;dfs;44675;4490.049825000;44529;186000;0.239403226;11470;3846;0;0;0.000008791;0.000026218;0.000003365;0.000000040;0.000012605;0.656823181;0.233462673;0.238609106;-1;-1;-1;-1
7graph_62_62_1000.dimacs;random_2level;fat;44675;100.123797000;250;401563.394616967;0.000622567;11470;3846;0;0;0.000034917;0.000104133;0.000000075;0.000000124;0.000015470;0.943317733;0.943853531;0.970401046;0.000260010;0.000260010;0.466681081;1.273716808
7graph_62_62_1000.dimacs;random_2level;scaling;44675;46.499609000;694;186000;0.003731183;11470;3846;0;0;0.000005842;0.000017421;0.000000035;0.000000055;0.000017001;0.317026110;0.103716373;0.118650709;-1;-1;-1;-1
8graph_64_64_1000.dimacs;random_2level;bfs;44751;520.823322000;4332;50093952;0.000086478;12224;4098;0.182141688;0.000501962;0.000009835;0.000029338;0.000000328;0.000003831;0.000004368;0.940214739;0.940445026;0.968340969;-1;-1;-1;-1
8graph_64_64_1000.dimacs;random_2level;dfs;44751;4790.978593000;44652;192000;0.232562500;12224;4098;0;0;0.000008777;0.000026183;0.000003014;0.000000036;0.000012506;0.658566101;0.235983163;0.240532816;-1;-1;-1;-1
8graph_64_64_1000.dimacs;random_2level;fat;44751;94.307483000;214;429080.657409050;0.000498741;12224;4098;0;0;0.000036051;0.000107538;0.000000059;0.000000120;0.000016010;0.939970717;0.940445026;0.968340969;0.000244021;0.000244021;0.470091394;1.283046494
8graph_64_64_1000.dimacs;random_2level;scaling;44751;39.269070000;651;192000;0.003390625;12224;4098;0;0;0.000004935;0.000014720;0.000000025;0.000000059;0.000020491;0.242285210;0.070090266;0.079797945;-1;-1;-1;-1
9graph_66_66_1000.dimacs;random_2level;bfs;49293;655.850451000;5103;56662716;0.000090059;13002;4358;0.196969697;0.000484014;0.000009885;0.000029491;0.000005594;0.000003825;0.000004362;0.949977054;0.949623135;0.973773266;-1;-1;-1;-1
9graph_66_66_1000.dimacs;random_2level;dfs;49293;5579.623392000;49169;198000;0.248328283;13002;4358;0;0;0.000008728;0.000026039;0.000047592;0.000000033;0.000012261;0.667118384;0.238038773;0.244126326;-1;-1;-1;-1
9graph_66_66_1000.dimacs;random_2level;fat;49293;141.382528000;315;457544.044086903;0.000688458;13002;4358;0;0;0.000034520;0.000102991;0.000001206;0.000000108;0.000015235;0.949747591;0.949623135;0.973773266;0.000229463;0.000229463;0.460953016;1.258124713
9graph_66_66_1000.dimacs;random_2level;scaling;49293;57.039355000;706;198000;0.003565657;13002;4358;0;0;0.000006214;0.000018539;0.000000487;0.000000046;0.000016902;0.320218620;0.116883957;0.130154306;-1;-1;-1;-1
10graph_68_68_1000.dimacs;random_2level;bfs;50060;720.356918000;5152;63857304;0.000080680;13804;4626;0.191321356;0.000447645;0.000010129;0.000030225;0.000010429;0.000003929;0.000004480;0.946822309;0.946899449;0.971855984;-1;-1;-1;-1
10graph_68_68_1000.dimacs;random_2level;dfs;50060;6143.357170000;49945;204000;0.244828431;13804;4626;0;0;0.000008911;0.000026589;0.000088939;0.000000030;0.000012532;0.665707678;0.238847596;0.243983177;-1;-1;-1;-1
10graph_68_68_1000.dimacs;random_2level;fat;50060;156.607225000;275;486955.691372100;0.000564733;13804;4626;0;0;0.000041255;0.000123104;0.000002267;0.000000122;0.000018247;0.946606139;0.946899449;0.971855984;0.000216169;0.000216169;0.496298570;1.354617141
10graph_68_68_1000.dimacs;random_2level;scaling;50060;81.170029000;795;204000;0.003897059;13804;4626;0;0;0.000007396;0.000022071;0.000001175;0.000000044;0.000017670;0.351814600;0.135391710;0.150349047;-1;-1;-1;-1
11graph_70_70_1000.dimacs;random_2level;bfs;50190;846.858064000;5375;71716260;0.000074948;14630;4902;0.186637047;0.000424956;0.000010769;0.000032141;0.000001405;0.000004186;0.000004773;0.943288454;0.943745728;0.970164046;-1;-1;-1;-1
11graph_70_70_1000.dimacs;random_2level;dfs;50190;6499.133073000;50141;210000;0.238766667;14630;4902;0;0;0.000008860;0.000026442;0.000010784;0.000000028;0.000012392;0.668727514;0.240379404;0.245444724;-1;-1;-1;-1
11graph_70_70_1000.dimacs;random_2level;fat;50190;153.583672000;289;517317.672016123;0.000558651;14630;4902;0;0;0.000036325;0.000108411;0.000000255;0.000000102;0.000016099;0.943084455;0.943745728;0.970164046;0.000203998;0.000203998;0.472831339;1.290582935
11graph_70_70_1000.dimacs;random_2level;scaling;50190;65.266785000;755;210000;0.003595238;14630;4902;0;0;0.000005909;0.000017635;0.000000108;0.000000040;0.000017976;0.295866534;0.102832065;0.114784236;-1;-1;-1;-1
12graph_72_72_1000.dimacs;random_2level;bfs;51478;925.453556000;5822;80279280;0.000072522;15480;5186;0.191117571;0.000403186;0.000010269;0.000030651;0.000000775;0.000003989;0.000004548;0.944465870;0.944509044;0.970736434;-1;-1;-1;-1
12graph_72_72_1000.dimacs;random_2level;dfs;51478;6949.044367000;51458;216000;0.238231481;15480;5186;0;0;0.000008724;0.000026040;0.000005819;0.000000025;0.000012444;0.658855303;0.235082887;0.240158142;-1;-1;-1;-1
12graph_72_72_1000.dimacs;random_2level;fat;51478;166.999869000;318;548631.998520119;0.000579624;15480;5186;0;0;0.000033925;0.000101264;0.000000140;0.000000090;0.000015026;0.944273043;0.944509044;0.970736434;0.000192827;0.000192827;0.451318601;1.231880736
12graph_72_72_1000.dimacs;random_2level;scaling;51478;72.264052000;785;216000;0.003634259;15480;5186;0;0;0.000005947;0.000017751;0.000000061;0.000000038;0.000018320;0.293603307;0.099465676;0.113122830;-1;-1;-1;-1
13graph_74_74_1000.dimacs;random_2level;bfs;51717;961.810525000;5827;89587212;0.000065043;16354;5478;0.183196771;0.000376735;0.000010093;0.000030132;0.000000580;0.000003922;0.000004472;0.944140197;0.944050385;0.970313073;-1;-1;-1;-1
13graph_74_74_1000.dimacs;random_2level;dfs;51717;7347.566760000;51547;222000;0.232193694;16354;5478;0;0;0.000008716;0.000026021;0.000004432;0.000000023;0.000012445;0.657633421;0.235058649;0.240033404;-1;-1;-1;-1
13graph_74_74_1000.dimacs;random_2level;fat;51717;182.498009000;326;580900.626539307;0.000561198;16354;5478;0;0;0.000034231;0.000102192;0.000000110;0.000000086;0.000015168;0.943957649;0.944050385;0.970313073;0.000182548;0.000182548;0.450111078;1.228600171
13graph_74_74_1000.dimacs;random_2level;scaling;51717;74.996981000;797;222000;0.003590090;16354;5478;0;0;0.000005754;0.000017178;0.000000045;0.000000037;0.000019314;0.273201166;0.091563938;0.103200074;-1;-1;-1;-1
14graph_76_76_1000.dimacs;random_2level;bfs;53141;1113.177934000;5956;99682056;0.000059750;17252;5778;0.179631347;0.000355523;0.000010834;0.000032347;-0.000000523;0.000004209;0.000004799;0.944963655;0.944875956;0.970554139;-1;-1;-1;-1
14graph_76_76_1000.dimacs;random_2level;dfs;53141;8017.872191000;52998;228000;0.232447368;17252;5778;0;0;0.000008769;0.000026183;-0.000003765;0.000000022;0.000012553;0.657102733;0.234963255;0.239252189;-1;-1;-1;-1
14graph_76_76_1000.dimacs;random_2level;fat;53141;168.112501000;283;614125.458006721;0.000460818;17252;5778;0;0;0.000034433;0.000102810;-0.000000079;0.000000082;0.000015252;0.944790585;0.944875956;0.970554139;0.000173070;0.000173070;0.452566364;1.235316618
14graph_76_76_1000.dimacs;random_2level;scaling;53141;74.761099000;823;228000;0.003609649;17252;5778;0;0;0.000005265;0.000015722;-0.000000035;0.000000037;0.000021826;0.239178272;0.069196197;0.080572587;-1;-1;-1;-1
15graph_78_78_1000.dimacs;random_2level;bfs;56417;1290.208484000;6594;110606964;0.000059616;18174;6086;0.187520634;0.000339278;0.000010766;0.000032150;-0.000001253;0.000004175;0.000004761;0.946763063;0.946792121;0.972185540;-1;-1;-1;-1
