graph_name;graph_type;algorithm;max_flow;avg_runtime;avg_iterations;avg_bound;avg_r;avg_m;avg_n;avg_cFrac;avg_rBar;avg_time_per_mI;avg_time_per_nI;avg_time_over_nm_n_plus_m;avg_time_over_r_2nm_sntm;avg_time_over_I_sntm;avg_s_bar;avg_t_bar_forward;avg_t_bar_residual;avg_insert_norm;avg_delete_norm;avg_update_norm_m;avg_update_norm_theoretical
1graph_50_25_1000.dimacs;square_mesh;bfs;150000;1435.147885000;8844;152747100;0.000057900;61050;2502;0.074782965;0.000799361;0.000002658;0.000064858;0.000001894;0.000001277;0.000001302;1.000399680;1;1;-1;-1;-1;-1
1graph_50_25_1000.dimacs;square_mesh;dfs;150000;4253.615588000;47033;150000;0.313553333;61050;2502;0;0;0.000001481;0.000036147;0.000005615;0.000000006;0.000007163;0.844947897;0.087869478;0.086085146;-1;-1;-1;-1
1graph_50_25_1000.dimacs;square_mesh;fat;150000;139.260210000;236;2099461.023266788;0.000112410;61050;2502;0;0;0.000009666;0.000235846;0.000000184;0.000000064;0.000004736;1;1;1;0.000399680;0.000399680;0.110650481;0.845151959
1graph_50_25_1000.dimacs;square_mesh;scaling;150000;56.075764000;466;150000;0.003106667;61050;2502;0;0;0.000001971;0.000048095;0.000000074;0.000000012;0.000013772;0.368343094;0.107198595;0.064013456;-1;-1;-1;-1
2graph_52_25_1000.dimacs;square_mesh;bfs;156000;1692.051938000;9717;178877424;0.000054322;66104;2706;0.075933378;0.000739098;0.000002634;0.000064351;-0.000002062;0.000001265;0.000001291;1.000369549;1;1;-1;-1;-1;-1
2graph_52_25_1000.dimacs;square_mesh;dfs;156000;5405.101230000;52980;156000;0.339615385;66104;2706;0;0;0.000001543;0.000037702;-0.000006586;0.000000006;0.000007354;0.841472545;0.089148075;0.087704583;-1;-1;-1;-1
2graph_52_25_1000.dimacs;square_mesh;fat;156000;161.908297000;247;2280744.865257945;0.000108298;66104;2706;0;0;0.000009916;0.000242239;-0.000000197;0.000000061;0.000004859;1;1;1;0.000369549;0.000369549;0.109660596;0.838256060
2graph_52_25_1000.dimacs;square_mesh;scaling;156000;63.153688000;500;156000;0.003205128;66104;2706;0;0;0.000001911;0.000046677;-0.000000077;0.000000011;0.000014000;0.357813008;0.101947628;0.060915935;-1;-1;-1;-1
3graph_54_25_1000.dimacs;square_mesh;bfs;162000;2128.939223000;10533;208222644;0.000050585;71358;2918;0.076347431;0.000685401;0.000002832;0.000069267;-0.000009171;0.000001361;0.000001388;1.000342700;1;1;-1;-1;-1;-1
3graph_54_25_1000.dimacs;square_mesh;dfs;162000;6369.749419000;58843;162000;0.363228395;71358;2918;0;0;0.000001517;0.000037097;-0.000027441;0.000000005;0.000007075;0.838976301;0.091372769;0.090055844;-1;-1;-1;-1
